title,abstract,SourceUrl,files
The “Thermodynamic” Universe,,https://www.worldscientific.com/worldscibooks/10.1142/6815,[]
2001: A Relativistic Spacetime Odyssey,,https://www.worldscientific.com/worldscibooks/10.1142/5040,[]
2-D Quadratic Maps and 3-D ODE Systems,,https://www.worldscientific.com/worldscibooks/10.1142/7774,[]
100 Years of Subatomic Physics,,https://www.worldscientific.com/worldscibooks/10.1142/8605,[]
150 Years of Quantum Many-Body Theory,,https://www.worldscientific.com/worldscibooks/10.1142/4794,[]
100 Years of Planck's Quantum,,https://www.worldscientific.com/worldscibooks/10.1142/4426,[]
The “Golden” Non-Euclidean Geometry,,https://www.worldscientific.com/worldscibooks/10.1142/9603,[]
100 Diagnostic Challenges in Clinical Medicine,,https://www.worldscientific.com/worldscibooks/10.1142/7206,[]
100 Challenges in Cardiology,,https://www.worldscientific.com/worldscibooks/10.1142/7750,[]
Acoustic Sensing and Probing,,https://www.worldscientific.com/worldscibooks/10.1142/1608,[]
Acoustic Metamaterials and Wave Control,,https://www.worldscientific.com/worldscibooks/10.1142/9429,[]
"Acoustics, Mechanics, and the Related Topics of Mathematical Analysis",,https://www.worldscientific.com/worldscibooks/10.1142/5189,[]
Acoustic Interactions with Submerged Elastic Structures,,https://www.worldscientific.com/worldscibooks/10.1142/4390,[]
