DOI,title,files
https://doi.org/10.1142/9789812791368_fmatter,FRONT MATTER,[]
https://doi.org/10.1142/9789812791368_0001,"2001: A SPACETIME ODYSSEY, INTRODUCTION",[]
https://doi.org/10.1142/9789812791368_0002,A BRIEF HISTORY OF SPACE-TIME,[]
https://doi.org/10.1142/9789812791368_0003,GRAVITATION AND NONLOCALITY,[]
https://doi.org/10.1142/9789812791368_0004,THE EQUIVALENCE PRINCIPLE: FROM ORIGINS TO ITS FUTURE USES,[]
https://doi.org/10.1142/9789812791368_0005,"SPACE-TIME, GENERAL COVARIANCE, DIRAC-BERGMANN OBSERVABLES AND NON-INERTIAL FRAMES",[]
https://doi.org/10.1142/9789812791368_0006,PHYSICS IN THE PRESENCE OF A TIME MACHINE,[]
https://doi.org/10.1142/9789812791368_0007,FRAME-DRAGGING AND GRAVITOMAGNETISM: THEORY AND EXPERIMENT,[]
https://doi.org/10.1142/9789812791368_0008,NEW TESTS OF THE STRONG EQUIVALENCE PRINCIPLE AND OF THE INVERSE SQUARE LAW,[]
https://doi.org/10.1142/9789812791368_0009,HIGH PRECISION GRAVITY MEASUREMENTS BY ATOM INTERFEROMETRY,[]
https://doi.org/10.1142/9789812791368_0010,COMMENTS ON COSMOLOGY 2001,[]
https://doi.org/10.1142/9789812791368_0011,THE INFLATIONARY UNIVERSE,[]
https://doi.org/10.1142/9789812791368_0012,IMAGING THE EARLY UNIVERSE WITH THE BOOMERANG EXPERIMENT,[]
https://doi.org/10.1142/9789812791368_0013,THE EARLY UNIVERSE ODYSSEY WITH GRAVITATIONAL WAVES,[]
https://doi.org/10.1142/9789812791368_0014,GRAVITATIONAL RADIATION: A TOOL FOR TESTING GENERAL RELATIVITY,[]
https://doi.org/10.1142/9789812791368_0015,WHAT GRAVITATIONAL SIGNALS SAY ABOUT THE STRUCTURE AND THE EVOLUTION OF ASTROPHYSICAL SOURCES,[]
