title,DOI,SourceUrl,files
Information Technology and Libraries at 50: The 1990s in Review,"Bowers, Steven K.",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=25035d06-4061-4ab4-9f1d-230bdf4c2aa6%40sdc-v-sessmgr02&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
The Open Access Citation Advantage: Does It Exist and What Does It Mean for Libraries?,"Lewis, Colby",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=aa560430-7d4f-4838-af15-6fe3806a648b%40sdc-v-sessmgr05&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
Information Technology and Libraries at 50: The 1980s in Review,"Dehmlow, Mark",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=c719398f-d0c5-43ee-ae6b-d3774c5e217f%40sdc-v-sessmgr03&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
A Technology-Dependent Information Literacy Model within the Confines of a Limited Resources Environment,"Abunadi, Ibrahim",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=9e9fac15-0f96-414a-bc3a-d29807b5c403%40sessionmgr4009&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
Application Level Security in a Public Library: A Case Study,"Thomchick, Richard",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=42b51b70-99a7-4b0a-9d38-078415e03585%40sdc-v-sessmgr05&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
An Overview of the Current State of Linked and Open Data in Cataloging,"Ullah, Irfan",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=770fc25e-2ac2-417c-aa1f-173bdd30019e%40sdc-v-sessmgr02&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
The Benefits of Enterprise Architecture for Library Technology Management: An Exploratory Case Study,"Searle, Sam",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=371e06e2-a985-42d1-9579-116452204db1%40sdc-v-sessmgr06&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
Gaps in IT and Library Services at Small Academic Libraries in Canada,"Hoover, Jasmine",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=2894b93e-504f-4648-a28c-b4775e301d78%40sessionmgr4007&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
"The ""Black Box"": How Students Use a Single Search Box to Search for Music Materials","Dougan, Kirstin",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=7958c5ca-dab5-4da1-8714-a817e33bc1e6%40sdc-v-sessmgr05&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
Editorial Board Thoughts: Critical Technology,"Ippoliti, Cinthya",http://web.a.ebscohost.com/ehost/detail/detail?vid=0&sid=65a1f9e6-0afd-440b-8471-4265e6d07975%40sdc-v-sessmgr01&bdata=Jmxhbmc9emgtY24mc2l0ZT1laG9zdC1saXZl,[]
