title,abstract,SourceUrl,files
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9781848164123_bmatter,[]
FRONT MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813209107_fmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812812360_bmatter,[]
An Adventurer's Miscellany,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812812360_0008,[]
The Enigma of Gravitation,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812812360_0007,[]
"The Origin of Mass, Spin and Interaction",The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812812360_0006,[]
String Theory and M-Theory,"This chapter presents an overview of string theory and M-theory. It introduces the basic concepts together with a brief history of how the subject was developed. Although string theory was initially viewed as a radical alternative to quantum field theory, more recent discoveries make it clear that it is actually the logical completion of quantum field theory, and therefore it is not radical at all. The chapter also describes various approaches that are used in the ongoing attempts to account for particle physics phenomenology, and it addresses the question of how predictive the theory is likely to be…",https://www.worldscientific.com/doi/abs/10.1142/9789814425810_0019,[]
FRONT MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812799760_fmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812700988_bmatter,[]
THE TWISTOR APPROACH TO SPACE-TIME STRUCTURES,"An outline of twistor theory is presented. Initial motivations (from 1963) are given for this type of non-local geometry, as an intended scheme for unifying quantum theory and space-time structure. Basic twistor geometry and algebra is exhibited, and it is shown that this provides a complex-manifold description of classical (spinning) massless particles. Simple quantum commutation rules lead to a concise representation of massless particle wavefunctions, in terms of contour integrals or (more profoundly) holomorphic 1st cohomology. Non-linear versions give elegant representations of anti-self-dual Einstein (or Yang-Mills) fields, describing left-handed non-linear gravitons (or Yang-Mills particles). A brief outline of the current status of the ‘googly problem’ is provided, whereby the right-handed particles would also be incorporated.",https://www.worldscientific.com/doi/abs/10.1142/9789812700988_0017,[]
Other Perspectives,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812703408_0010,[]
100 Diagnostic Challenges in Clinical Medicine,Note from Publisher: This section consists of 100 clinical scenarios and their appropriate illustrations in an easy-to-read Q&A format concerning diagnosis and management.,https://www.worldscientific.com/doi/abs/10.1142/9789812839404_0001,[]
FRONT MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812839404_fmatter,[]
BACK MATTER,The following sections is included: ,https://www.worldscientific.com/doi/abs/10.1142/9789814678308_bmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812778925_bmatter,[]
Straddling Two Cultures - Yu Chun Yee,"For Yu Chun Yee, going from the Chinese High School to Raffles Institution was a culture shock. Chinese High was the breeding ground for aspiring revolutionaries, drawing inspiration from an emerging China. RI was the cradle of the privileged English-educated elite who celebrated Empire Day with the ",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0100,[]
Dim Sum Dolly - Emma Yong,"Emma Yong is a pioneering actress of the emerging Singapore theatre. She turned down a promising international career to keep company with other home-grown talents. Her ambition was to be a writer. She won the Angus Ross Award for topping the International Advanced Level for English from among 7,000 international candidates…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0098,[]
Pioneer in Bioengineering and Nanotechnology - Jackie Yi-Ru Ying,"Jackie Yi-Ru Ying has been named as one of 100 young people in the world expected to be leading 21st century innovators. At thirtyfour, she became the youngest professor at the Massachusetts Institute of Technology. She has the honour of heading the newly-established Institute of Bioengineering and Nanotechnology as its Executive Director. Although an American citizen, she considers Singapore her home…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0097,[]
The Consummate Journalist - Francis Wong Tze Kan,"Francis Wong Tze Kan brought a refreshing change to journalism in Singapore. Hitherto, the Press was dominated by expatriates who wrote mainly for an English-educated readership who were sadly out of touch with the rapidly changing political events…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0096,[]
A Witness to End of Empire - Othman Wok,"Haji Othman bin Wok has played a prominent role in Singapore's political development as a trade unionist, journalist, government minister and Ambassador. He has lived through British colonialism, the Japanese Occupation, Singapore's merger with Malaysia, its separation and eventual emergence as an independent nation. He was a keen sportsman in his student days, and when he was a government minister, sports was an integral part of his portfolio…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0095,[]
The People's President - Wee Kim Wee,Wee Kim Wee is affectionately known as 'The People's President' for bringing the highest Office of the nation to the man in the street. He is highly respected as a man without affectation and with a deep interest in people. He brought honour and dignity to the Presidency and his dedication to duty was exemplary…,https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0094,[]
National Library Chief - N. Varaprasad,"N. Varaprasad (or Prasad) is best known as a progressive educator and educationist. His life has been predicated on the two pillars of public service and education, where he is highly regarded as an innovator and visionary. He was a lecturer, Associate Professor and later a Deputy President at the National University of Singapore. He was the founding Principal of Temasek Polytechnic. Now in his late fifties, as Chief Executive of the National Library Board, he is entrusted with the responsibility of keeping the national institution a key player in Singapore's drive to be a knowledge-based society, gracious, creative and engaged…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0093,[]
First Woman Pilot - Teo Ah Hong,"Teo Ah Hong is Singapore's first female commercial pilot. With a commercial licence, she has trained many pilots who fly the Singapore International Airlines fleet. The name 'Hong' literally means 'Phoenix', so it seems that she was destined to fly…",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0092,[]
