title,abstract,SourceUrl,files
"1,1′-Binaphthyl-Based Chiral Materials",,https://www.worldscientific.com/worldscibooks/10.1142/p649,[]
The (Pre-)Dawning of Functional Specialization in Physics,,https://www.worldscientific.com/worldscibooks/10.1142/10423,[]
The “Golden” Non-Euclidean Geometry,,https://www.worldscientific.com/worldscibooks/10.1142/9603,[]
The “Thermodynamic” Universe,,https://www.worldscientific.com/worldscibooks/10.1142/6815,[]
The (1+1)-Nonlinear Universe of the Parabolic Map and Combinatorics,,https://www.worldscientific.com/worldscibooks/10.1142/9370,[]
The 20 Years of the Synchrotron SATURNE-2,,https://www.worldscientific.com/worldscibooks/10.1142/3965,[]
150 Years of Quantum Many-Body Theory,,https://www.worldscientific.com/worldscibooks/10.1142/4794,[]
100 Years of Subatomic Physics,,https://www.worldscientific.com/worldscibooks/10.1142/8605,[]
100 Years of Planck's Quantum,,https://www.worldscientific.com/worldscibooks/10.1142/4426,[]
100 Years of Relativity,,https://www.worldscientific.com/worldscibooks/10.1142/5876,[]
"Accelerator Physics, Technology and Applications",,https://www.worldscientific.com/worldscibooks/10.1142/5499,[]
The Abdus Salam Memorial Meeting,,https://www.worldscientific.com/worldscibooks/10.1142/3920,[]
50 Years of Indian Community in Singapore,,https://www.worldscientific.com/worldscibooks/10.1142/9961,[]
300 Single Best Answers in Clinical Medicine,,https://www.worldscientific.com/worldscibooks/10.1142/p935,[]
30 Years' Review of China's Science and Technology (1949 – 1979),,https://www.worldscientific.com/worldscibooks/10.1142/0011,[]
30 Years of the Landau Institute — Selected Papers,,https://www.worldscientific.com/worldscibooks/10.1142/2740,[]
3-in-1: Governing a Global Financial Centre,,https://www.worldscientific.com/worldscibooks/10.1142/10479,[]
2nd World Congress on Superconductivity,,https://www.worldscientific.com/worldscibooks/10.1142/1373,[]
25th International Cosmic Ray Conference — Volume 8,,https://www.worldscientific.com/worldscibooks/10.1142/3653,[]
The 21st Century Guide to Writing Articles in the Biomedical Sciences,,https://www.worldscientific.com/worldscibooks/10.1142/10760,[]
21st Century Global Health Diplomacy,,https://www.worldscientific.com/worldscibooks/10.1142/8178,[]
20th Century Physics: Essays and Recollections,,https://www.worldscientific.com/worldscibooks/10.1142/2852,[]
2030 Vision for ASEAN-China Strategic Partnership,,https://www.worldscientific.com/worldscibooks/10.1142/11024,[]
2017 Impact Estimation of Exchange Rate on Foreign Direct Investment Inflows and Annual Update of Competitiveness Analysis for 34 Greater China Economies,,https://www.worldscientific.com/worldscibooks/10.1142/11046,[]
"2017 Annual Indices for Expatriates and Ordinary Residents on Cost of Living, Wages and Purchasing Power for World's Major Cities",,https://www.worldscientific.com/worldscibooks/10.1142/11128,[]
2017 Annual Competitiveness Analysis and Impact of Exchange Rates on Foreign Direct Investment Inflows to Sub-National Economies of Indonesia,,https://www.worldscientific.com/worldscibooks/10.1142/11042,[]
2017 Annual Competitiveness Analysis and Impact of Exchange Rates on Foreign Direct Investment Inflows to Sub-National Economies of India,,https://www.worldscientific.com/worldscibooks/10.1142/11043,[]
"2016 Growth Slowdown Analysis, Ease of Doing Business Index, and Annual Competitiveness Studies of Indonesia's Sub-National Economies",,https://www.worldscientific.com/worldscibooks/10.1142/10621,[]
"2016 Annual Indices for Expatriates and Ordinary Residents on Cost of Living, Wages and Purchasing Power for World's Major Cities",,https://www.worldscientific.com/worldscibooks/10.1142/10630,[]
50 Years of Environment,,https://www.worldscientific.com/worldscibooks/10.1142/9653,[]
50 Years of Green Revolution,,https://www.worldscientific.com/worldscibooks/10.1142/10279,[]
50 Years of Engineering in Singapore,,https://www.worldscientific.com/worldscibooks/10.1142/9366,[]
50 Years of ASEAN and Singapore,,https://www.worldscientific.com/worldscibooks/10.1142/10572,[]
50 Math and Science Games for Leadership,,https://www.worldscientific.com/worldscibooks/10.1142/6456,[]
4D Visualization of Matter,,https://www.worldscientific.com/worldscibooks/10.1142/p953,[]
4D Electron Microscopy,,https://www.worldscientific.com/worldscibooks/10.1142/p641,[]
40 Years of Berezinskii–Kosterlitz–Thouless Theory,,https://www.worldscientific.com/worldscibooks/10.1142/8572,[]
[]
