title,abstract,SourceUrl,files
BACK MATTER,The following sections is included: ,https://www.worldscientific.com/doi/abs/10.1142/9789814678308_bmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812703408_bmatter,[]
Other Perspectives,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812703408_0010,[]
POLYAKOV CONJECTURE AND 2+1 DIMENSIONAL GRAVITY,"After briefly reviewing the hamiltonian approach to 2+1 dimensional gravity in absence of matter on closed universes, we consider 2+1 dimensional gravity coupled to point particles in an open universe. We show that the hamiltonian structure of the theory is the result of a conjecture put forward by Polyakov in a different context. A proof is given of such a conjecture. Finally we give the exact quantization of the two particle problem in open space.",https://www.worldscientific.com/doi/abs/10.1142/9789812791368_0026,[]
PHYSICS WITH LARGE EXTRA DIMENSIONS,"A theory with such a mathematical beauty cannot be wrong: this was one of the main arguments in favor of string theory, which unifies all known physical theories of fundamental interactions in a single coherent description of the universe. But no one has ever observed strings, not even indirectly, neither the space of extra dimensions where they live. However, there is a hope that the “hidden” dimensions of string theory are much larger than what we thought in the past and they become within experimental reach in the near future, together with the strings themselves.",https://www.worldscientific.com/doi/abs/10.1142/9789812791368_0025,[]
String Theory and M-Theory,"This chapter presents an overview of string theory and M-theory. It introduces the basic concepts together with a brief history of how the subject was developed. Although string theory was initially viewed as a radical alternative to quantum field theory, more recent discoveries make it clear that it is actually the logical completion of quantum field theory, and therefore it is not radical at all. The chapter also describes various approaches that are used in the ongoing attempts to account for particle physics phenomenology, and it addresses the question of how predictive the theory is likely to be…",https://www.worldscientific.com/doi/abs/10.1142/9789814425810_0019,[]
Lattice Gauge Theory and the Origin of Mass,"Most of the mass of everyday objects resides in atomic nuclei; the total of the electrons’ mass adds up to less than one part in a thousand. The nuclei are composed of nucleons — protons and neutrons — whose nuclear binding energy, though tremendous on a human scale, is small compared to their rest energy. The nucleons are, in turn, composites of massless gluons and nearly massless quarks. It is the energy of these confined objects, via ",https://www.worldscientific.com/doi/abs/10.1142/9789814425810_0018,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812700988_bmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789812778925_bmatter,[]
Straddling Two Cultures - Yu Chun Yee,"For Yu Chun Yee, going from the Chinese High School to Raffles Institution was a culture shock. Chinese High was the breeding ground for aspiring revolutionaries, drawing inspiration from an emerging China. RI was the cradle of the privileged English-educated elite who celebrated Empire Day with the ",https://www.worldscientific.com/doi/abs/10.1142/9789812778925_0100,[]
BACK MATTER,The following section is included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813200074_bmatter,[]
BACK MATTER,The following sections is included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813140592_bmatter,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813226760_bmatter,[]
Chapter 6: Concluding Remarks and Future Research Agenda,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813226760_0006,[]
只差一步,,https://www.worldscientific.com/doi/abs/10.1142/9789813226913_bmatter,[]
Chapter 36: Conclusion,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813226913_0036,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813226821_bmatter,[]
只差一步,,https://www.worldscientific.com/doi/abs/10.1142/9789813226821_0005,[]
BACK MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813200128_bmatter,[]
Chapter 5: Conclusion and the Way Forward to an Innovation Driven Economy for Greater China,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813200128_0005,[]
Chapter 4: Agricultural Productivity in Greater China Economies: Estimating Provincial Agricultural Total Factor Productivity in Mainland China,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813200128_0004,[]
只差一步,,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_bmatter,[]
Chapter 5: Concluding Remarks and Future Research Agenda,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_0005,[]
"Chapter 4: Drivers of Growth in the Travel and Tourism Industry in Malaysia, Thailand and Singapore: A Geweke Causality Analysis",The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_0004,[]
Chapter 3: How Productive is the Agricultural Sector in ASEAN?,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_0003,[]
Chapter 1: The ASEAN Economic Community by 2016?,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_0001,[]
FRONT MATTER,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813147461_fmatter,[]
Chapter 3: 2015 Regional Competitiveness Analysis for Greater China,The following sections are included: ,https://www.worldscientific.com/doi/abs/10.1142/9789813200128_0003,[]
